,Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Month,New_Status
361,369455,Comcast refuses to uhold contract for 2 years phone/internet,2015-06-26,26-Jun-15,10:22:21 PM,Customer Care Call,Cazadero,California,95421,Pending,No,June,Open
362,362901,Comcast business internet is much more expensive that home internet.,2015-06-24,24-Jun-15,5:16:41 PM,Internet,Centennial,Colorado,80112,Solved,No,June,Closed
363,357454,Comcast Internet Usage Cap,2015-06-23,23-Jun-15,2:37:42 AM,Internet,Central City,Kentucky,42330,Solved,No,June,Closed
364,316295,Comcast poor service,2015-06-01,06-Jan-15,10:19:34 AM,Customer Care Call,Ceresco,Michigan,49033,Solved,No,June,Closed
365,293621,Comcast Corporation Data Caps,2015-05-16,16-May-15,6:49:41 PM,Customer Care Call,Chamblee,Georgia,30341,Solved,No,May,Closed
366,353861,comcast throttling my internet service,2015-06-20,20-Jun-15,2:11:05 PM,Customer Care Call,Champaign,Illinois,61821,Pending,No,June,Open
367,219355,billing/service issues,2015-04-06,04-Jun-15,12:39:13 PM,Customer Care Call,Charleston,South Carolina,29422,Closed,No,April,Closed
368,244252,Unethical Charges,2015-04-20,20-Apr-15,10:30:43 AM,Customer Care Call,Charleston,South Carolina,29414,Closed,No,April,Closed
369,327188,Comcast Data Cap,2015-06-06,06-Jun-15,11:01:47 PM,Customer Care Call,Charleston,South Carolina,29414,Solved,No,June,Closed
370,327649,Comcast wrongfully autodrafted a final bill that was not yet adjusted,2015-06-07,06-Jul-15,8:27:03 PM,Customer Care Call,Charleston,South Carolina,29403,Closed,Yes,June,Closed
371,327672,Comcast Internet,2015-06-07,06-Jul-15,9:26:44 PM,Internet,Charleston,South Carolina,48230,Open,No,June,Open
372,359201,Comcast data cap at 300GB,2015-06-23,23-Jun-15,4:18:01 PM,Customer Care Call,Charleston,South Carolina,29405,Pending,No,June,Open
373,360047,Internet speeds are throttled,2015-06-23,23-Jun-15,8:16:37 PM,Customer Care Call,Charleston,South Carolina,29403,Solved,No,June,Closed
374,362066,Complex situation prevents bundling discounts and drives service price up,2015-06-24,24-Jun-15,2:10:36 PM,Customer Care Call,Charlottesville,Virginia,22901,Solved,No,June,Closed
375,360715,Comcast Internet prices & speeds,2015-06-24,24-Jun-15,1:29:55 AM,Internet,Chaska,Minnesota,55318,Closed,No,June,Closed
376,267602,Comcast overcharging,2015-04-30,30-Apr-15,8:48:20 PM,Internet,Chatham,New Jersey,7928,Closed,No,April,Closed
377,238543,Reimbursement I've never recieved,2015-04-16,16-Apr-15,7:47:20 AM,Customer Care Call,Chelsea,Massachusetts,2150,Closed,No,April,Closed
378,346941,constant internet issues,2015-06-17,17-Jun-15,6:32:38 PM,Internet,Chelsea,Massachusetts,2150,Solved,No,June,Closed
379,367115,Xfinity,2015-06-25,25-Jun-15,9:22:56 PM,Customer Care Call,Cherry Hill,New Jersey,8003,Solved,No,June,Closed
380,367381,Xfinity/Comcast,2015-06-26,26-Jun-15,5:05:21 AM,Internet,Chesapeake Beach,Maryland,20732,Solved,No,June,Closed
381,234266,Comcast Hard Inquiries,2015-04-14,14-Apr-15,11:40:15 AM,Internet,Chester,Virginia,23831,Closed,No,April,Closed
382,314287,comcast jamming signal,2015-05-29,29-May-15,6:18:34 PM,Internet,Chester,Virginia,23831,Pending,No,May,Open
383,262351,Comcast lied to me,2015-04-28,28-Apr-15,5:02:40 PM,Customer Care Call,Chesterfield,Virginia,23832,Closed,No,April,Closed
384,321744,Terrible customer service and process,2015-06-03,06-Mar-15,4:54:49 PM,Customer Care Call,Chesterfield,Virginia,23832,Closed,No,June,Closed
385,223190,Comcast & HBO GO on PS4,2015-04-08,04-Aug-15,1:38:38 AM,Customer Care Call,Chicago,Illinois,60657,Closed,No,April,Closed
386,226269,Run around,2015-04-09,04-Sep-15,12:34:45 PM,Internet,Chicago,Illinois,60639,Closed,No,April,Closed
387,232709,Comcast Service and Customer service issues,2015-04-13,13-Apr-15,3:41:50 PM,Internet,Chicago,Illinois,60647,Closed,No,April,Closed
388,232829,Comcast pricing scam,2015-04-13,13-Apr-15,4:19:33 PM,Internet,Chicago,Illinois,60618,Closed,No,April,Closed
389,261661,Comcast Disconnect,2015-04-28,28-Apr-15,2:06:40 PM,Internet,Chicago,Illinois,60609,Closed,No,April,Closed
390,214441,COMCAST THROTTLING SPEEDS AND DATA CAPS,2015-04-02,04-Feb-15,2:20:18 PM,Internet,Chicago,Illinois,60657,Closed,No,April,Closed
391,216141,Closed Captioning of Online Videos,2015-04-03,04-Mar-15,11:59:50 AM,Internet,Chicago,Illinois,60638,Solved,No,April,Closed
392,231532,Comcast problems,2015-04-13,13-Apr-15,12:24:21 AM,Customer Care Call,Chicago,Illinois,60612,Closed,No,April,Closed
393,246073,Removed discount after I complained about an unauthorized charge,2015-04-20,20-Apr-15,9:14:38 PM,Customer Care Call,Chicago,Illinois,60622,Closed,No,April,Closed
394,260565,complaint regarding Comcast,2015-04-28,28-Apr-15,2:12:49 AM,Internet,Chicago,Illinois,60641,Closed,No,April,Closed
395,267753,COMCAST INTERNET CONNECTION CHEAT,2015-04-30,30-Apr-15,11:10:36 PM,Customer Care Call,Chicago,Illinois,60612,Closed,Yes,April,Closed
396,266647,Wireless Signal issues/frequent connection drop,2015-04-30,30-Apr-15,2:33:37 PM,Internet,Chicago,Illinois,60630,Closed,No,April,Closed
397,268909,"Comcast is ripping me off, and I can't be quiet anymore",2015-05-01,05-Jan-15,2:57:40 PM,Internet,Chicago,Illinois,60610,Solved,No,May,Closed
398,278392,Billing Dispute,2015-05-07,05-Jul-15,2:13:45 PM,Customer Care Call,Chicago,Illinois,60608,Solved,No,May,Closed
399,279767,complaint about Comcast,2015-05-08,05-Aug-15,10:18:35 AM,Customer Care Call,Chicago,Illinois,60625,Solved,No,May,Closed
400,284044,Comcast,2015-05-11,05-Nov-15,4:27:10 PM,Internet,Chicago,Illinois,60657,Closed,No,May,Closed
401,285615,Internet Speeds Not as Advertised,2015-05-12,05-Dec-15,1:23:23 PM,Customer Care Call,Chicago,Illinois,60622,Open,No,May,Open
402,288996,Comcast & Sony Playstation Devices,2015-05-13,13-May-15,10:40:11 PM,Customer Care Call,Chicago,Illinois,60613,Solved,Yes,May,Closed
403,292575,Comcast Wifi Issues,2015-05-15,15-May-15,5:32:37 PM,Internet,Chicago,Illinois,60630,Solved,No,May,Closed
404,304026,Comcast Internet,2015-05-22,22-May-15,5:42:50 PM,Internet,Chicago,Illinois,60618,Solved,No,May,Closed
405,303128,comcast,2015-05-22,22-May-15,11:34:30 AM,Customer Care Call,Chicago,Illinois,60645,Solved,No,May,Closed
406,305594,Comcast is giving me poor quality customer service.,2015-05-25,25-May-15,3:05:36 AM,Customer Care Call,Chicago,Illinois,60626,Open,No,May,Open
407,317887,Comcast no show tech,2015-06-01,06-Jan-15,8:47:07 PM,Customer Care Call,Chicago,Illinois,60660,Closed,No,June,Closed
408,318605,Comcast internet,2015-06-02,06-Feb-15,12:22:55 PM,Internet,Chicago,Illinois,60614,Closed,No,June,Closed
409,325959,horrible service charges for tech/installation applied when they shouldnt have,2015-06-05,06-May-15,4:59:04 PM,Internet,Chicago,Illinois,60620,Solved,Yes,June,Closed
410,327275,Slow Internet/ Billing/ poor customer service of your complaints,2015-06-07,06-Jul-15,9:04:12 AM,Customer Care Call,Chicago,Illinois,60620,Closed,No,June,Closed
411,329685,no service,2015-06-08,06-Aug-15,10:55:30 PM,Internet,Chicago,Illinois,60620,Solved,No,June,Closed
412,331541,Comcast Outages,2015-06-09,06-Sep-15,7:47:13 PM,Customer Care Call,Chicago,Illinois,60611,Solved,No,June,Closed
413,330456,comcast internet connection and speed,2015-06-09,06-Sep-15,1:38:18 PM,Customer Care Call,Chicago,Illinois,60612,Closed,Yes,June,Closed
414,330180,Comcast Cable & Internet,2015-06-09,06-Sep-15,12:12:48 PM,Internet,Chicago,Illinois,60611,Solved,No,June,Closed
415,339886,comcast: no service for one month,2015-06-14,14-Jun-15,12:27:53 PM,Customer Care Call,Chicago,Illinois,60657,Solved,No,June,Closed
416,341405,Comcast,2015-06-15,15-Jun-15,3:01:35 PM,Internet,Chicago,Illinois,60657,Solved,No,June,Closed
417,342222,Comcast did not remove charge for over a year,2015-06-15,15-Jun-15,7:54:39 PM,Customer Care Call,Chicago,Illinois,60625,Solved,No,June,Closed
418,343753,Comcast charging for services not rendered,2015-06-16,16-Jun-15,3:44:58 PM,Customer Care Call,Chicago,Illinois,60637,Solved,No,June,Closed
419,347598,price inflation due to monopoly of Comcast,2015-06-17,17-Jun-15,10:38:05 PM,Internet,Chicago,Illinois,60646,Solved,No,June,Closed
420,347580,Double charge my internet service every month,2015-06-17,17-Jun-15,10:25:59 PM,Internet,Chicago,Illinois,60616,Solved,No,June,Closed
421,358598,Unfair Billing Practices,2015-06-23,23-Jun-15,2:21:10 PM,Internet,Chicago,Illinois,60622,Solved,No,June,Closed
422,359956,Comcast Billing/Monopoly/Service,2015-06-23,23-Jun-15,7:45:25 PM,Customer Care Call,Chicago,Illinois,60457,Closed,No,June,Closed
423,358620,Tricked into upgrade,2015-06-23,23-Jun-15,2:24:35 PM,Internet,Chicago,Illinois,60618,Solved,No,June,Closed
424,361003,Comcast Unfair Business Practices,2015-06-24,24-Jun-15,9:24:05 AM,Internet,Chicago,Illinois,60626,Solved,No,June,Closed
425,361084,internet speeds slow,2015-06-24,24-Jun-15,9:52:45 AM,Internet,Chicago,Illinois,60657,Solved,Yes,June,Closed
426,360620,Faulty Service and False Advertisement,2015-06-24,24-Jun-15,12:22:34 AM,Internet,Chicago,Illinois,60607,Solved,No,June,Closed
427,366291,Comcast started charging a lease fee for equipment I own after enabling automatic bill payment,2015-06-25,25-Jun-15,4:35:18 PM,Customer Care Call,Chicago,Illinois,60625,Solved,No,June,Closed
428,373777,Comcast/Xfinity Service Manipulation,2015-06-29,29-Jun-15,10:05:50 PM,Customer Care Call,Chicago,Illinois,60618,Solved,No,June,Closed
429,373309,unsatisfactory speed with disorganized service,2015-06-29,29-Jun-15,6:11:21 PM,Internet,Chicago,Illinois,60614,Open,No,June,Open
430,375500,Comcast billing and service,2015-06-30,30-Jun-15,4:46:18 PM,Internet,Chicago,Illinois,60625,Solved,No,June,Closed
431,376064,Unfair Billing Practices,2015-06-30,30-Jun-15,8:18:48 PM,Customer Care Call,Chicago,Illinois,60608,Solved,No,June,Closed
432,367366,Xfinity Price and not 16Mbps when paying for 50Mbps,2015-06-26,26-Jun-15,4:22:34 AM,Internet,Chickamauga,Georgia,30707,Open,No,June,Open
433,264757,Xfinity Order Status,2015-04-29,29-Apr-15,4:31:16 PM,Customer Care Call,Citrus Heights,California,95621,Closed,No,April,Closed
434,331935,Comcast violating Open Internet rules,2015-06-10,06-Oct-15,1:44:03 AM,Customer Care Call,Citrus Heights,California,95611,Solved,Yes,June,Closed
435,354309,Billing/Customer Service,2015-06-20,20-Jun-15,8:56:19 PM,Internet,Citrus Heights,California,95610,Solved,No,June,Closed
436,316846,Comcast is double billing me and not processing my credit back to me,2015-06-01,06-Jan-15,1:59:23 PM,Customer Care Call,City Of Orange,New Jersey,7050,Closed,No,June,Closed
437,367352,Comcast internet speeds,2015-06-26,26-Jun-15,2:58:36 AM,Customer Care Call,Clairton,Pennsylvania,15025,Solved,Yes,June,Closed
438,215755,Comcast lies and deception,2015-04-03,04-Mar-15,8:24:30 AM,Internet,Clarkston,Michigan,48348,Closed,No,April,Closed
439,222582,Comcast over billing,2015-04-07,04-Jul-15,5:48:21 PM,Customer Care Call,Clarkston,Michigan,48348,Closed,No,April,Closed
440,338507,"Comcast Internet, cable, and phone outtages",2015-06-12,06-Dec-15,9:46:12 PM,Customer Care Call,Clarkston,Michigan,48346,Solved,No,June,Closed
441,338606,Internet connection outage,2015-06-12,06-Dec-15,11:52:11 PM,Customer Care Call,Clarkston,Michigan,48346,Solved,No,June,Closed
442,362956,Comcast Throttling Internet Speed,2015-06-24,24-Jun-15,5:35:01 PM,Customer Care Call,Clawson,Michigan,48017,Open,No,June,Open
443,267711,"Comcast Xfinity Overage Charges, No Assistance",2015-04-30,30-Apr-15,10:14:27 PM,Internet,Claxton,Georgia,30417,Closed,No,April,Closed
444,369578,Service outages (Comcast),2015-06-27,27-Jun-15,1:10:36 AM,Customer Care Call,Clermont,Georgia,30527,Solved,Yes,June,Closed
445,362724,Comcast Billing,2015-06-24,24-Jun-15,4:37:27 PM,Internet,Clinton,Maryland,20735,Open,No,June,Open
446,307701,Charges not authorized,2015-05-26,26-May-15,3:54:52 PM,Customer Care Call,Clio,Michigan,48420,Solved,No,May,Closed
447,242189,comcast/xfinity,2015-04-17,17-Apr-15,5:50:07 PM,Customer Care Call,Closter,New Jersey,7624,Closed,Yes,April,Closed
448,228974,Cocmast (internet),2015-04-10,04-Oct-15,2:08:27 PM,Customer Care Call,Clovis,California,93612,Closed,No,April,Closed
449,323310,Comcast/Xfinity,2015-06-04,06-Apr-15,1:28:36 PM,Internet,Clovis,California,93612,Closed,No,June,Closed
450,354467,XFINITY/COMCAST TETHERING CONNECTION,2015-06-21,21-Jun-15,3:20:59 AM,Customer Care Call,Clovis,California,93612,Open,No,June,Open
451,307370,"XFinity ""Comcast"" CLOSED SCHEDULED APPT AND SAID IT WAS OPEN",2015-05-26,26-May-15,2:05:49 PM,Internet,Coconut Creek,Florida,33066,Solved,No,May,Closed
452,311844,Service Issues,2015-05-28,28-May-15,3:21:00 PM,Internet,Coconut Creek,Florida,33073,Solved,No,May,Closed
453,249320,ComCast Internet Outage,2015-04-22,22-Apr-15,12:23:14 AM,Internet,Coeburn,Virginia,24230,Closed,Yes,April,Closed
454,321762,Comcast,2015-06-03,06-Mar-15,5:01:33 PM,Customer Care Call,College Park,Georgia,30349,Open,No,June,Open
455,218516,Additional Usage @$10/50GB,2015-04-05,04-May-15,3:17:39 PM,Customer Care Call,Collierville,Tennessee,38017,Closed,No,April,Closed
456,256506,Comcast data caps,2015-04-24,24-Apr-15,10:04:59 PM,Customer Care Call,Collierville,Tennessee,38017,Closed,Yes,April,Closed
457,359317,Comcast billing practices,2015-06-23,23-Jun-15,4:44:22 PM,Internet,Collinsville,Virginia,24078,Solved,No,June,Closed
458,254426,very poor customer service,2015-04-24,24-Apr-15,12:28:44 AM,Customer Care Call,Colonia,New Jersey,7067,Closed,No,April,Closed
459,360207,internet speed,2015-06-23,23-Jun-15,9:31:00 PM,Customer Care Call,Colorado Spring,Colorado,80911,Open,Yes,June,Open
460,216279,Another Fraudulenct collection claim from Comcast,2015-04-03,04-Mar-15,12:43:17 PM,Customer Care Call,Colorado Springs,Colorado,80908,Closed,No,April,Closed
461,230071,Comcast and CenturyLink failing Wissler Ranch Colorado Community,2015-04-10,04-Oct-15,9:20:51 PM,Customer Care Call,Colorado Springs,Colorado,80908,Closed,No,April,Closed
462,257026,"Tried to cancel, was lied to about change in service",2015-04-25,25-Apr-15,2:48:21 PM,Customer Care Call,Colorado Springs,Colorado,80903,Closed,Yes,April,Closed
463,287000,Xfinity Throttling Apple TV bitrate,2015-05-13,13-May-15,3:15:58 AM,Customer Care Call,Colorado Springs,Colorado,80918,Open,No,May,Open
464,315874,Comcast Termination Fee,2015-05-31,31-May-15,5:54:06 PM,Customer Care Call,Colorado Springs,Colorado,80910,Solved,No,May,Closed
465,336234,Unresolved Issues,2015-06-12,06-Dec-15,7:59:56 AM,Customer Care Call,Colorado Springs,Colorado,80909,Closed,No,June,Closed
466,359931,no warning before price increase,2015-06-23,23-Jun-15,7:36:54 PM,Customer Care Call,Colorado Springs,Colorado,80907,Solved,No,June,Closed
467,363251,Comcast unfair billing,2015-06-24,24-Jun-15,7:19:55 PM,Customer Care Call,Colorado Springs,Colorado,80906,Solved,No,June,Closed
468,368799,Comcast overbilling and overcharging,2015-06-26,26-Jun-15,4:26:20 PM,Internet,Colorado Springs,Colorado,80906,Solved,Yes,June,Closed
469,354541,COMCAST SERVICE COMPLAINT,2015-06-21,21-Jun-15,10:40:18 AM,Customer Care Call,Columbia,Maryland,21044,Solved,No,June,Closed
470,355761,Charge to my bill unknowingly,2015-06-22,22-Jun-15,1:14:07 PM,Customer Care Call,Columbia,Maryland,21044,Solved,No,June,Closed
471,221714,billing,2015-04-07,04-Jul-15,1:34:48 PM,Customer Care Call,Columbiana,Ohio,44408,Closed,No,April,Closed
472,251830,Internet and phone pricing,2015-04-23,23-Apr-15,10:23:47 AM,Internet,Columbus,Indiana,47203,Closed,No,April,Closed
473,360308,"Worst speed, no competition, and billing does not match the service.",2015-06-23,23-Jun-15,10:12:08 PM,Internet,Columbus,Indiana,47201,Solved,No,June,Closed
474,281798,Comcast bundled service,2015-05-09,05-Sep-15,12:44:18 PM,Customer Care Call,Commerce City,Colorado,80022,Solved,No,May,Closed
475,280486,Charged for equipment that I didn't have,2015-05-08,05-Aug-15,2:32:54 PM,Customer Care Call,Concord,California,94520,Solved,No,May,Closed
476,359962,"Comcast misrepresented their service area, then charged me for attempting to use it.",2015-06-23,23-Jun-15,7:47:44 PM,Internet,Concord,California,94521,Solved,No,June,Closed
477,248736,Comcast Xfinity,2015-04-21,21-Apr-15,5:44:39 PM,Internet,Concord,New Hampshire,3301,Closed,No,April,Closed
478,358558,Comcast Does Not Deliver Service,2015-06-23,23-Jun-15,2:14:55 PM,Customer Care Call,Conshohocken,Pennsylvania,19428,Solved,Yes,June,Closed
479,367651,Slow internet speeds on Comcast,2015-06-26,26-Jun-15,10:41:23 AM,Customer Care Call,Conshohocken,Pennsylvania,19428,Pending,No,June,Open
480,302833,Comcast service,2015-05-22,22-May-15,7:59:52 AM,Internet,Conyers,Georgia,30013,Solved,No,May,Closed
481,361815,Nonsensical Raise in my Internet Bill,2015-06-24,24-Jun-15,1:00:32 PM,Internet,Coral Gables,Florida,33134,Solved,No,June,Closed
482,215011,Comcast service billing,2015-04-02,04-Feb-15,5:13:30 PM,Internet,Cordova,Tennessee,38018,Closed,No,April,Closed
483,243443,Comcast Runaround,2015-04-18,18-Apr-15,10:42:01 PM,Customer Care Call,Cordova,Tennessee,38018,Closed,No,April,Closed
484,360340,Cruel and Illegal Practices - Comcast,2015-06-23,23-Jun-15,10:19:20 PM,Internet,Cordova,Tennessee,38016,Solved,Yes,June,Closed
485,371399,Throttled speed,2015-06-29,29-Jun-15,12:10:09 AM,Internet,Cordova,Tennessee,38018,Pending,No,June,Open
486,221047,Transfer services,2015-04-07,04-Jul-15,9:46:30 AM,Customer Care Call,Corryton,Tennessee,37721,Closed,No,April,Closed
487,222682,Comcast agent lied about service upgrade,2015-04-07,04-Jul-15,6:31:03 PM,Internet,Corvallis,Oregon,97330,Closed,No,April,Closed
488,304120,Customer Service Representative Lied About Rates and Promotions,2015-05-22,22-May-15,6:25:33 PM,Internet,Corvallis,Oregon,97333,Solved,No,May,Closed
489,360766,"Comcast service Corvallis, OR.",2015-06-24,24-Jun-15,2:31:09 AM,Customer Care Call,Corvallis,Oregon,97330,Open,No,June,Open
490,360800,Unexplained Billing,2015-06-24,24-Jun-15,3:17:38 AM,Customer Care Call,Corvallis,Oregon,97330,Open,No,June,Open
491,338940,Comcast/Xfinity Internet,2015-06-13,13-Jun-15,12:15:42 PM,Customer Care Call,Cottage Grove,Minnesota,55016,Solved,No,June,Closed
492,342392,Lack of availability,2015-06-15,15-Jun-15,9:34:28 PM,Internet,Cottonwood,Alabama,36320,Open,No,June,Open
493,367187,Comcast bill problems,2015-06-25,25-Jun-15,10:08:55 PM,Internet,Cottonwood Heights,Utah,84121,Solved,No,June,Closed
494,358556,Unfair billing practices,2015-06-23,23-Jun-15,2:14:10 PM,Internet,Cottrellville,Michigan,48039,Solved,No,June,Closed
495,360356,Comcast Data Caps,2015-06-23,23-Jun-15,10:27:40 PM,Customer Care Call,Covington,Georgia,30016,Pending,No,June,Open
496,360214,Comcast Internet is unbelievably slow,2015-06-23,23-Jun-15,9:33:15 PM,Internet,Crest Hill,Illinois,60403,Pending,No,June,Open
497,273147,Comcast Refuse to Refund Rental Fee made in error,2015-05-05,05-May-15,9:42:35 AM,Customer Care Call,Crofton,Maryland,21114,Solved,No,May,Closed
498,359243,COMCAST,2015-06-23,23-Jun-15,4:27:05 PM,Internet,Crown Point,Indiana,46307,Solved,Yes,June,Closed
499,362056,Issues with Cable and Internet Packaging Unfair Prices,2015-06-24,24-Jun-15,2:05:57 PM,Internet,Crystal Lake,Illinois,60014,Open,No,June,Open
500,370825,Comcast Internet Speed and Reliability,2015-06-28,28-Jun-15,11:39:26 AM,Customer Care Call,Crystal Lake,Illinois,60014,Pending,No,June,Open
501,349836,cable internet,2015-06-18,18-Jun-15,4:03:26 PM,Internet,Culpeper,Virginia,22701,Solved,No,June,Closed
502,308341,Monopoly and Deceit: The 300GB Data Cap,2015-05-26,26-May-15,8:18:32 PM,Internet,Cumming,Georgia,30040,Solved,No,May,Closed
503,308477,comcast xfinity home security service,2015-05-26,26-May-15,9:44:05 PM,Customer Care Call,Cumming,Georgia,30041,Solved,No,May,Closed
504,312553,Comcast bait and switch,2015-05-28,28-May-15,7:50:03 PM,Internet,Cumming,Georgia,30040,Pending,No,May,Open
505,325844,"Comcast Data Cap in Atlanta, GA",2015-06-05,06-May-15,4:14:22 PM,Customer Care Call,Cumming,Georgia,30041,Solved,No,June,Closed
506,331839,Cap on data usage,2015-06-09,06-Sep-15,10:48:20 PM,Customer Care Call,Cumming,Georgia,30028,Solved,No,June,Closed
507,338753,Data Cap,2015-06-13,13-Jun-15,8:50:32 AM,Customer Care Call,Cumming,Georgia,30041,Solved,No,June,Closed
508,358141,Data usage,2015-06-23,23-Jun-15,12:38:36 PM,Customer Care Call,Cumming,Georgia,30040,Solved,No,June,Closed
509,361026,Extorted into signing up for multi-year contract,2015-06-24,24-Jun-15,9:35:25 AM,Internet,Cumming,Georgia,30040,Solved,No,June,Closed
510,361262,Comcast Selectively Enforcing Data Caps,2015-06-24,24-Jun-15,10:46:11 AM,Customer Care Call,Cumming,Georgia,30028,Solved,No,June,Closed
511,371490,Comcast Usage Caps,2015-06-29,29-Jun-15,7:35:52 AM,Customer Care Call,Cumming,Georgia,30040,Solved,No,June,Closed
512,317983,Comcast Internet Service Bad Quality,2015-06-01,06-Jan-15,10:11:03 PM,Internet,Cupertino,California,95014,Closed,No,June,Closed
513,322002,Ping spikes and packet loss,2015-06-03,06-Mar-15,6:08:14 PM,Internet,Cupertino,California,95014,Open,No,June,Open
514,349925,Comcast complaint,2015-06-18,18-Jun-15,4:22:55 PM,Internet,Cupertino,California,95014,Open,No,June,Open
515,300994,comcast phone & internet billing issue,2015-05-21,21-May-15,11:31:51 AM,Customer Care Call,Cutler Bay,Florida,33189,Closed,No,May,Closed
516,360885,Comcast Xfinity charging rental fee for personally owned modem,2015-06-24,24-Jun-15,7:34:53 AM,Customer Care Call,Cutler Bay,Florida,33190,Solved,No,June,Closed
517,360740,Horrific billing,2015-06-24,24-Jun-15,1:51:01 AM,Customer Care Call,Cypress,Texas,77429,Closed,No,June,Closed
518,304707,Comcast / Xfinity overcharging for internet / internet cap,2015-05-23,23-May-15,12:16:54 PM,Customer Care Call,Dacula,Georgia,30019,Solved,No,May,Closed
519,370897,Comcast Money Grab using Data Caps,2015-06-28,28-Jun-15,1:07:00 PM,Customer Care Call,Dacula,Georgia,30019,Pending,No,June,Open
520,371339,Comcast Internet Service Provider,2015-06-28,28-Jun-15,10:16:48 PM,Internet,Dacula,Georgia,30019,Open,No,June,Open
521,374265,Fraudulent charges by Comcast,2015-06-30,30-Jun-15,11:12:33 AM,Customer Care Call,Dacula,Georgia,30019,Solved,No,June,Closed
522,321859,Comcast Data Cap Compliant,2015-06-03,06-Mar-15,5:19:36 PM,Customer Care Call,Dallas,Georgia,30132,Solved,No,June,Closed
523,361174,Billings Charges & Credits,2015-06-24,24-Jun-15,10:22:03 AM,Internet,Dallas,Georgia,30157,Solved,Yes,June,Closed
524,361593,"Comcast Data Cap Limits, Lack of Competition, and Anti-Competition Business and Billing Practices",2015-06-24,24-Jun-15,12:15:00 PM,Internet,Dallas,Georgia,30132,Pending,No,June,Open
525,374783,Deceptive Billing Practices,2015-06-30,30-Jun-15,1:38:28 PM,Customer Care Call,Dallas,Georgia,30132,Pending,No,June,Open
526,363368,Billing Complaint,2015-06-24,24-Jun-15,8:22:55 PM,Customer Care Call,Daly City,California,94015,Solved,No,June,Closed
527,242847,Comcast Unfair Billing Practices,2015-04-18,18-Apr-15,11:54:54 AM,Customer Care Call,Dania Beach,Florida,33004,Closed,No,April,Closed
528,351573,"Comcast ""property access"" or ""right of entry""",2015-06-19,19-Jun-15,12:05:47 PM,Internet,Danville,California,94526,Solved,Yes,June,Closed
529,371536,Internet speed,2015-06-29,29-Jun-15,8:45:03 AM,Internet,Danville,California,94526,Solved,No,June,Closed
530,236425,Robber Barron Billing Practices,2015-04-15,15-Apr-15,9:59:13 AM,Customer Care Call,Danville,Illinois,61832,Closed,No,April,Closed
531,376227,Fradualent claims,2015-06-30,30-Jun-15,10:05:38 PM,Customer Care Call,Danville,Illinois,61832,Solved,Yes,June,Closed
532,339894,Xfinity Comcast hbogo on ps4,2015-06-14,14-Jun-15,12:37:53 PM,Internet,Dartmouth,Massachusetts,2748,Open,No,June,Open
533,262190,comcast failure to respond to user communication,2015-04-28,28-Apr-15,4:27:20 PM,Customer Care Call,Davidsonville,Maryland,21035,Closed,No,April,Closed
534,288196,xfinitty tv and exfinity alarm,2015-05-13,13-May-15,4:00:37 PM,Internet,Davie,Florida,33314,Solved,No,May,Closed
535,360651,Internet speed and price of bundle,2015-06-24,24-Jun-15,12:39:42 AM,Customer Care Call,Davie,Florida,33314,Solved,Yes,June,Closed
536,282820,RE: Comcast Internet Illegal charges,2015-05-11,05-Nov-15,1:11:34 AM,Internet,Davis,California,95616,Solved,No,May,Closed
537,373822,Possible Internet Speed Throttling by my Comcast Internet Provider,2015-06-29,29-Jun-15,11:08:09 PM,Customer Care Call,Davis,California,95618,Pending,No,June,Open
538,362897,Slow speed,2015-06-24,24-Jun-15,5:15:57 PM,Customer Care Call,Dayton,Texas,77535,Solved,No,June,Closed
539,242346,Inaccurate billing,2015-04-17,17-Apr-15,7:10:17 PM,Customer Care Call,Dearborn,Michigan,48124,Closed,No,April,Closed
540,361093,Comcast Internet Pricing,2015-06-24,24-Jun-15,9:55:48 AM,Internet,Dearborn,Michigan,48124,Solved,Yes,June,Closed
541,263641,Billing/contract issue related to data cap,2015-04-29,29-Apr-15,11:06:48 AM,Customer Care Call,Decatur,Georgia,30030,Closed,No,April,Closed
542,304759,Comcast Data Billing,2015-05-23,23-May-15,1:26:17 PM,Internet,Decatur,Georgia,30032,Closed,No,May,Closed
543,313021,Data Caps,2015-05-29,29-May-15,9:54:10 AM,Customer Care Call,Decatur,Georgia,30032,Pending,No,May,Open
544,332081,Comcast,2015-06-10,06-Oct-15,9:14:45 AM,Internet,Decatur,Georgia,30034,Solved,No,June,Closed
545,332082,Comcast,2015-06-10,06-Oct-15,9:14:50 AM,Internet,Decatur,Georgia,30034,Closed,No,June,Closed
546,347577,Comcast,2015-06-17,17-Jun-15,10:23:39 PM,Customer Care Call,Decatur,Georgia,30033,Solved,No,June,Closed
547,368187,"Prolonged internet outage, tardy response",2015-06-26,26-Jun-15,1:30:10 PM,Internet,Decatur,Georgia,30033,Solved,No,June,Closed
548,367526,comcast internet,2015-06-26,26-Jun-15,9:38:37 AM,Internet,Decherd,Tennessee,37324,Open,No,June,Open
549,245446,Improper billing from Comcast,2015-04-20,20-Apr-15,4:58:11 PM,Internet,Deerfield,Illinois,60015,Closed,No,April,Closed
550,313550,Deceptive sales tactics,2015-05-29,29-May-15,1:42:39 PM,Customer Care Call,Deerfield Beach,Florida,33064,Open,No,May,Open
